PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_req=1 ttl=64 time=86.7 ms
64 bytes from 10.0.0.2: icmp_req=2 ttl=64 time=156 ms
64 bytes from 10.0.0.2: icmp_req=3 ttl=64 time=202 ms
64 bytes from 10.0.0.2: icmp_req=4 ttl=64 time=192 ms
64 bytes from 10.0.0.2: icmp_req=5 ttl=64 time=300 ms
64 bytes from 10.0.0.2: icmp_req=6 ttl=64 time=338 ms
64 bytes from 10.0.0.2: icmp_req=7 ttl=64 time=368 ms
64 bytes from 10.0.0.2: icmp_req=8 ttl=64 time=413 ms
64 bytes from 10.0.0.2: icmp_req=9 ttl=64 time=429 ms
64 bytes from 10.0.0.2: icmp_req=10 ttl=64 time=362 ms
64 bytes from 10.0.0.2: icmp_req=11 ttl=64 time=432 ms
64 bytes from 10.0.0.2: icmp_req=12 ttl=64 time=513 ms
64 bytes from 10.0.0.2: icmp_req=13 ttl=64 time=405 ms
64 bytes from 10.0.0.2: icmp_req=14 ttl=64 time=499 ms
64 bytes from 10.0.0.2: icmp_req=15 ttl=64 time=595 ms
64 bytes from 10.0.0.2: icmp_req=16 ttl=64 time=511 ms
64 bytes from 10.0.0.2: icmp_req=17 ttl=64 time=629 ms
64 bytes from 10.0.0.2: icmp_req=18 ttl=64 time=521 ms
64 bytes from 10.0.0.2: icmp_req=19 ttl=64 time=664 ms
64 bytes from 10.0.0.2: icmp_req=20 ttl=64 time=557 ms
64 bytes from 10.0.0.2: icmp_req=21 ttl=64 time=716 ms
64 bytes from 10.0.0.2: icmp_req=22 ttl=64 time=610 ms
64 bytes from 10.0.0.2: icmp_req=23 ttl=64 time=761 ms
64 bytes from 10.0.0.2: icmp_req=24 ttl=64 time=654 ms
64 bytes from 10.0.0.2: icmp_req=26 ttl=64 time=706 ms
64 bytes from 10.0.0.2: icmp_req=27 ttl=64 time=599 ms
64 bytes from 10.0.0.2: icmp_req=28 ttl=64 time=759 ms
64 bytes from 10.0.0.2: icmp_req=29 ttl=64 time=651 ms
64 bytes from 10.0.0.2: icmp_req=30 ttl=64 time=544 ms
64 bytes from 10.0.0.2: icmp_req=31 ttl=64 time=468 ms
64 bytes from 10.0.0.2: icmp_req=32 ttl=64 time=361 ms
64 bytes from 10.0.0.2: icmp_req=33 ttl=64 time=302 ms
64 bytes from 10.0.0.2: icmp_req=34 ttl=64 time=195 ms
64 bytes from 10.0.0.2: icmp_req=35 ttl=64 time=128 ms
64 bytes from 10.0.0.2: icmp_req=36 ttl=64 time=328 ms
64 bytes from 10.0.0.2: icmp_req=37 ttl=64 time=343 ms
64 bytes from 10.0.0.2: icmp_req=38 ttl=64 time=349 ms
64 bytes from 10.0.0.2: icmp_req=39 ttl=64 time=347 ms
64 bytes from 10.0.0.2: icmp_req=40 ttl=64 time=352 ms
64 bytes from 10.0.0.2: icmp_req=41 ttl=64 time=358 ms
64 bytes from 10.0.0.2: icmp_req=42 ttl=64 time=355 ms
64 bytes from 10.0.0.2: icmp_req=43 ttl=64 time=352 ms
64 bytes from 10.0.0.2: icmp_req=44 ttl=64 time=365 ms
64 bytes from 10.0.0.2: icmp_req=45 ttl=64 time=362 ms
64 bytes from 10.0.0.2: icmp_req=46 ttl=64 time=359 ms
64 bytes from 10.0.0.2: icmp_req=47 ttl=64 time=372 ms
64 bytes from 10.0.0.2: icmp_req=48 ttl=64 time=369 ms
64 bytes from 10.0.0.2: icmp_req=49 ttl=64 time=374 ms
64 bytes from 10.0.0.2: icmp_req=50 ttl=64 time=371 ms
64 bytes from 10.0.0.2: icmp_req=51 ttl=64 time=377 ms
64 bytes from 10.0.0.2: icmp_req=52 ttl=64 time=382 ms
64 bytes from 10.0.0.2: icmp_req=53 ttl=64 time=379 ms
64 bytes from 10.0.0.2: icmp_req=54 ttl=64 time=376 ms
64 bytes from 10.0.0.2: icmp_req=55 ttl=64 time=390 ms
64 bytes from 10.0.0.2: icmp_req=56 ttl=64 time=387 ms
64 bytes from 10.0.0.2: icmp_req=57 ttl=64 time=384 ms
64 bytes from 10.0.0.2: icmp_req=58 ttl=64 time=389 ms
64 bytes from 10.0.0.2: icmp_req=59 ttl=64 time=394 ms
64 bytes from 10.0.0.2: icmp_req=60 ttl=64 time=391 ms
64 bytes from 10.0.0.2: icmp_req=61 ttl=64 time=396 ms
64 bytes from 10.0.0.2: icmp_req=62 ttl=64 time=393 ms
64 bytes from 10.0.0.2: icmp_req=63 ttl=64 time=405 ms
64 bytes from 10.0.0.2: icmp_req=64 ttl=64 time=402 ms
64 bytes from 10.0.0.2: icmp_req=65 ttl=64 time=405 ms
64 bytes from 10.0.0.2: icmp_req=66 ttl=64 time=403 ms
64 bytes from 10.0.0.2: icmp_req=67 ttl=64 time=407 ms
64 bytes from 10.0.0.2: icmp_req=68 ttl=64 time=413 ms
64 bytes from 10.0.0.2: icmp_req=69 ttl=64 time=413 ms
64 bytes from 10.0.0.2: icmp_req=70 ttl=64 time=410 ms
64 bytes from 10.0.0.2: icmp_req=71 ttl=64 time=421 ms
64 bytes from 10.0.0.2: icmp_req=72 ttl=64 time=415 ms
64 bytes from 10.0.0.2: icmp_req=73 ttl=64 time=415 ms
64 bytes from 10.0.0.2: icmp_req=74 ttl=64 time=421 ms
64 bytes from 10.0.0.2: icmp_req=75 ttl=64 time=423 ms
64 bytes from 10.0.0.2: icmp_req=76 ttl=64 time=429 ms
64 bytes from 10.0.0.2: icmp_req=77 ttl=64 time=429 ms
